Bulan,Hari,Tanggal,Jenis Pengukuran,Test,Parameter,Telkomsel,IOH,XL Axiata,Longitude,Latitude,Kabupaten/Kota,Alamat,Keterangan
Maret,Sabtu,3/29/2025,Static Test,Speed Test,DL (Mbps),59.33,8.72,9.66,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Speed Test,UL (Mbps),52.09,94,6.76,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Speed Test,Ping (ms),1.11,1.04,204,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Web Test,Loading time (ms),3,2.89,542,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Web Test,Throughput W (Mbps),0.494,0.608,0.375,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Video Test,Initial Buffering (ms),500,614,0,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.15,2.04,122.518834,-3.963720,Kendari,Mall Mandonga,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Speed Test,DL (Mbps),25.69,5.83,0.78,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Speed Test,UL (Mbps),31.23,7.19,5.32,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Speed Test,Ping (ms),1.36,140,177,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Web Test,Loading time (ms),1.26,47.78,198,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Web Test,Throughput W (Mbps),0.031,0.84,0.435,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Video Test,Initial Buffering (ms),503,0,1,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.11,2.12,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Speed Test,DL (Mbps),34.9,6.59,5.31,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Speed Test,UL (Mbps),15.22,7.05,6.07,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Speed Test,Ping (ms),1.49,1.85,198,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Web Test,Loading time (ms),2.99,436,491,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Web Test,Throughput W (Mbps),0.533,0.478,0.303,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Video Test,Initial Buffering (ms),501,1,1,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Minggu,3/30/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.09,2.11,122.540110,-4.000907,Kendari,Pasar Anduonohu,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Speed Test,DL (Mbps),41.99,8.59,9.36,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Speed Test,UL (Mbps),9.4,7.48,3.87,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Speed Test,Ping (ms),1.56,175,209,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Web Test,Loading time (ms),3.34,187,519,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Web Test,Throughput W (Mbps),0.724,0.589,0.4,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Video Test,Initial Buffering (ms),500,1,0,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
Maret,Senin,3/31/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.27,2.11,122.536700,-4.024500,Kendari,Polda Sultra,Posko Before Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,DL (Mbps),29.25,126.51,1.48,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,UL (Mbps),6.58,40.63,6.08,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,Ping (ms),137,3.63,167,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Loading time (ms),462,3,261,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Throughput W (Mbps),0.18,821,0.53,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Initial Buffering (ms),1,1000,0,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Throughput V (Mbps),1.89,0.58,1.93,122.519000,-4.018400,Kendari,BTN Kendari Permai,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,DL (Mbps),0.38,26.02,1.78,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,UL (Mbps),0.17,5.3,3.97,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,Ping (ms),895,3.71,209,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Loading time (ms),753,4,701,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Throughput W (Mbps),0.139,658,0.329,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Initial Buffering (ms),0,1083,0,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Throughput V (Mbps),2.18,0.9,1.96,122.615400,-4.002700,Kendari,Wisata Pantai Nambo,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,DL (Mbps),9.09,9.25,3.02,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,UL (Mbps),6.9,0,4.03,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,Ping (ms),167,1.66,307,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Loading time (ms),817,3,395,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Throughput W (Mbps),0,0.24,0.417,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Initial Buffering (ms),0,999,0,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Throughput V (Mbps),2.33,0.71,2.17,122.663300,-3.906500,Kendari,Wisata Pantai Toronipa,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,DL (Mbps),16.28,90.31,8.43,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,UL (Mbps),7.08,32.32,6.39,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Speed Test,Ping (ms),125,3.56,209,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Loading time (ms),543,4,872,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Web Test,Throughput W (Mbps),0,0.41,0.21,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Initial Buffering (ms),1,1016,0,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Selasa,4/1/2025,Static Test,Video Test,Throughput V (Mbps),0.84,0.94,2.11,122.511800,-3.992500,Kendari,Lippo Plaza Kendari,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Speed Test,DL (Mbps),3.93,6.52,0.22,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Speed Test,UL (Mbps),6.1,7.09,3.38,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Speed Test,Ping (ms),3.01,3.63,662,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Web Test,Loading time (ms),3.73,250,488,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
April,Rabu,4/2/2025,Static Test,Web Test,Throughput W (Mbps),156,0.543,0.343,122.586700,-3.976600,Kendari,Jembatan Bahteramas,Posko After Idul Fitri
